budget,actual_samples,accuracy_r2,unique_depths,depth_coverage_pct,time_span_min,corr_variance,corr_volatility
250,250,87.81179498468961,129,51.6,6717.316666666651,0.06295879612996329,0.5798802589163659
500,500,71.51018200870622,129,51.6,11722.066666666651,-0.027476643237471933,0.6178675339869204
1000,1000,94.33440066355398,248,99.2,22475.583333333314,-0.11908381095634633,0.5706991289941472
2000,2000,77.86760234664997,250,100.0,41045.59999999998,0.06613621195569211,0.35794664322659536
5000,5000,92.7219097803947,250,100.0,100670.44999999995,0.2734017296463031,0.27499397761487526
